LocationHeader,Region,Superregion,iso3c,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021,Country,Level
    Saint Lucia,Caribbean,Latin America and Caribbean,LCA,0.00111451946461228,8.026473593520892e-4,1.283533460222781e-4,1.5190266687667344e-4,1.6849020256889163e-4,2.315201776626531e-4,mid,0.0054,29.98,19101.1653,Saint Lucia,3
    Saint Vincent and the Grenadines,Caribbean,Latin America and Caribbean,VCT,0.00111709737942107,8.542514640002158e-4,2.5251223869973124e-4,3.1311706309084073e-4,3.4503910259331644e-4,4.916294068424412e-4,mid,0.0026,23.29,16200.89946,Saint Vincent and the Grenadines,3
    Suriname,Caribbean,Latin America and Caribbean,SUR,0.00310084808262101,0.0024104594495017,2.2750194874707308e-4,2.774967405752074e-4,3.0335097973050275e-4,4.298560521354355e-4,mid,0.0095,15.9,18458.235,Suriname,3
    Trinidad and Tobago,Caribbean,Latin America and Caribbean,TTO,0.01710033178529091,0.01105870616814778,0.00330796167739989,0.00334394944017493,0.00413052241934464,0.0051172351679109,mid,0.0737,53.4,30424.66489,Trinidad and Tobago,3
  Central Latin America,Central Latin America,Latin America and Caribbean,NA,0.8569861080928922,0.5727136778263147,0.07093511569890122,0.05824567445108012,0.0823596206063997,0.08059655662746178,NA,NA,NA,NA,NA,2
    Colombia,Central Latin America,Latin America and Caribbean,COL,0.02532632118481016,0.05404302404024389,0.00627883362300574,0.02484905007642442,0.00185176422927614,0.00796839866457498,low,0.7051,14,17383.09017,Colombia,3
    Costa Rica,Central Latin America,Latin America and Caribbean,CRI,0.06193420995337964,0.04431352977116919,0.01439481011440779,0.01573366068654667,0.01849015802467839,0.0241840489198572,mid,0.1617,31.84,23852.9253,Costa Rica,3
    El Salvador,Central Latin America,Latin America and Caribbean,SLV,0.00274656247714184,0.00688716595546954,8.639043420718706e-4,0.00388640580637716,2.5510615508958484e-4,0.00122294538657651,low,0.0628,9.37,10809.7134,El Salvador,3
    Guatemala,Central Latin America,Latin America and Caribbean,GTM,0.0060888528627249,0.01495342658525707,0.00141674580451433,0.00605792089643448,4.112874240144496e-4,0.00199559655619751,low,0.1624,9.22,11825.14092,Guatemala,3
    Honduras,Central Latin America,Latin America and Caribbean,HND,0.00269121843270496,0.00859022455586994,8.028820269830196e-4,0.00423835130509046,2.414485896816309e-4,0.00140007331320572,low,0.052,5.42,6202.980788,Honduras,3
    Mexico,Central Latin America,Latin America and Caribbean,MEX,0.7170132294491987,0.5675153519919097,0.04193938946317907,0.04921476229663698,0.05519354752623032,0.0760690280289744,mid,2.103,16.7,20782.58774,Mexico,3
    Nicaragua,Central Latin America,Latin America and Caribbean,NIC,0.00216641654007576,0.00644900398147926,7.203304682909073e-4,0.00374252134791706,2.0052959518795284e-4,0.00109562490210075,low,0.0314,4.81,7119.169234,Nicaragua,3
    Panama,Central Latin America,Latin America and Caribbean,PAN,0.03901929719285631,0.02562274424872547,0.00451821985644849,0.00465507814568328,0.00571577906224124,0.00723226902520941,mid,0.1354,32.1,30932.76278,Panama,3
    Venezuela,Central Latin America,Latin America and Caribbean,VEN,0,0,0,0,0,0,high,0.49370000000000003,17.93,NA,Venezuela,3
  Tropical Latin America,Tropical Latin America,Latin America and Caribbean,NA,1.9704868716019683,1.100398452763958,0.3575658711979111,0.2945309287118225,0.23130501169175297,0.2300952837291186,NA,NA,NA,NA,NA,2
    Brazil,Tropical Latin America,Latin America and Caribbean,BRA,1.967934774645553,1.1003788086466924,0.3572923541754099,0.2945286498264132,0.23121860774275055,0.2300949077692541,mid,3.7128,17.68,18075.706,Brazil,3
    Paraguay,Tropical Latin America,Latin America and Caribbean,PRY,0.00255209695641526,0.00657512939790103,2.735170225012033e-4,0.00115861955738424,8.640394900242563e-5,4.159483646450455e-4,low,0.0513,7.18,15406.16706,Paraguay,3
North Africa and Middle East,NA,North Africa and Middle East,NA,1.4823555443534155,0.733285730353005,0.3236955577573219,0.2781441493405855,0.37675782106874445,0.4294880587570227,NA,NA,NA,NA,NA,1
  North Africa and Middle East,North Africa and Middle East,North Africa and Middle East,NA,1.4823555443534155,0.733285730353005,0.3236955577573219,0.2781441493405855,0.37675782106874445,0.4294880587570227,NA,NA,NA,NA,NA,2
    Afghanistan,North Africa and Middle East,North Africa and Middle East,AFG,0.00571403082344459,0.03036621614916402,0.00268294825107661,0.0186391792962887,7.104919539204725e-4,0.00575907429747538,low,0.0167,0.46,2144.16657,Afghanistan,3
    Algeria,North Africa and Middle East,North Africa and Middle East,DZA,0.02148007239618012,0.04880657211318132,0.00591705996128505,0.02440403125079169,0.00175568369303832,0.00748794775466742,low,0.3237,7.46,14496.86547,Algeria,3
    Bahrain,North Africa and Middle East,North Africa and Middle East,BHR,0.00239583187360165,0.00452081379961376,7.542025615385196e-4,0.00229999946798317,2.317269246460761e-4,8.119388674597352e-4,low,0.0625,41.36,54954.67579,Bahrain,3
    Egypt,North Africa and Middle East,North Africa and Middle East,EGY,0.03675000892463868,0.0937888619238024,0.0036017578524092,0.01451310567437755,0.0010992449426013,0.00512883025307241,low,0.3293,3.32,15579.01609,Egypt,3
    Iran,North Africa and Middle East,North Africa and Middle East,IRN,0.8074567979412028,0.6854028173428457,0.1951683636959879,0.2605521503275563,0.275767776858504,0.4236119405113617,mid,3.5071,42.12,12731.75358,Iran,3
    Iraq,North Africa and Middle East,North Africa and Middle East,IRQ,0.02001457454336011,0.04788531747262768,0.00612291574235018,0.02618776786021526,0.00184802028784766,0.00875223641567303,low,1e-4,0.01,12731.75358,Iraq,3
    Jordan,North Africa and Middle East,North Africa and Middle East,JOR,0.00387822071772046,0.01038310464199412,9.55036081396822e-4,0.00462248113544982,2.813220342675299e-4,0.00143335495742362,low,0.0747,7.42,9182.496161,Jordan,3
    Kuwait,North Africa and Middle East,North Africa and Middle East,KWT,0.05734339143247085,0.03682570529749041,0.00549250322191001,0.00525208254090737,0.00656956219412089,0.00763567769234591,mid,0.2182,46.41,50651.95758,Kuwait,3
