Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Nepal,0.00553223454728124,0.02491907795832875,0.00129568860234238,0.00756200189772161,3.621856042922134e-4,0.00383074919381674,low,0.0891,3.13,4546.2297
Netherlands,2.5327575750244824,0.6632782469903403,0.940429435789448,0.3383150004282281,0.5188711752724113,0.32658448022308045,high,3.6785,213.48,68573.56488
New Zealand,0.1308512840211911,0.08381744581728001,0.03089086128809299,0.02857423551953343,0.03671785652832358,0.04153884835896546,mid,0.5353,106.27,47996.67988
Nicaragua,0.00249533627771781,0.00735992728959051,6.87034729626667e-4,0.00333115259494573,2.00539399816322e-4,0.00104196869766529,low,0.0314,4.81,7119.169234
Niger,0.00441008193733104,0.02775986178732449,0.00204822615543911,0.01316678809483835,4.33633332268749e-4,0.00489791530894299,low,1e-4,0.01,1585.59922
Nigeria,0.06432923321771739,0.21931458894824285,0.0212024001929828,0.11310330697343172,0.00625158200802443,0.04303488020203572,low,0.1375,0.68,5491.700341
North Korea,0,0,0,0,0,0,high,0.0895,3.5,NA
North Macedonia,0.0015277099490533,0.00306962769512657,3.2384423430265334e-4,0.00130915908469445,9.814442952848556e-5,3.7885174041498874e-4,low,0.0319,15.34,22142.97287
Norway,0.8405008012877249,0.20541682260033772,0.2720721736519242,0.09236377225218662,0.14712605443556995,0.08698348624585257,high,2.1691,404.99,88984.13867
Oman,0.05855848649046656,0.0375927441581859,0.00372947994029442,0.00376080358369094,0.00455556985150104,0.00537908752443429,mid,0.1327,30.82,38719.45877
Pakistan,0.07544726414577593,0.2910129553124125,0.02487763247266047,0.16231246189849158,0.00866567333045986,0.05875545810183159,low,0.0489,0.24,5367.273647
Palau,1.2722054701811846e-4,9.28930166693388e-5,1.3008127068867669e-5,1.686697324084518e-5,1.842399301323537e-5,2.6229103391186464e-5,mid,5e-4,25.39,15663.17159
Panama,0.04815816467493068,0.03016429795561505,0.00454682165954363,0.0045248077618682,0.00564428013618798,0.00690300798781373,mid,0.1354,32.1,30932.76278
Papua New Guinea,0.00236009292865638,0.01096752046404271,7.000906789833298e-4,0.00433173426297954,2.6655854055893666e-4,0.00223234177067545,low,0.0358,4.17,3976.903801
Paraguay,0.00313582788514056,0.00743119518304301,2.444007011255176e-4,0.00100393719840579,8.185801345359978e-5,5.425896049382943e-4,low,0.0513,7.18,15406.16706
Peru,0.01684367042714769,0.03790339290640407,0.00295798853785178,0.01388100558746772,8.848230974175731e-4,0.00428429109318327,low,0.2678,8.24,15280.55121
Philippines,0.04327191946273915,0.11513276208185529,0.00965865544422332,0.04354731530037588,0.00314025909282667,0.01530498563237272,low,0.0165,0.15,8857.789951
Poland,0.5357558213533893,0.31533545144625386,0.066432011785578,0.06300194786573375,0.08030712580294776,0.09439692334850536,mid,1.7024,44.83,41059.58478
Portugal,0.1990663495882657,0.12003212046595532,0.04035623130428253,0.03958531942781892,0.05018911351989143,0.05740126120504121,mid,0.8695,84.7,38657.66772
Qatar,0.0799813774469988,0.05220051746349689,0.00289378099221698,0.00256020729734707,0.00321954817768013,0.00343437829946626,mid,0.2287,83.07,116832.5703
Republic of Ireland,0.18750772288699968,0.1034030341718777,0.03305711932522226,0.02783522158772594,0.03693567878727744,0.03749727092670967,mid,0.5148,104,116903.6124
Republic of Korea,2.3653012714015365,0.5267925182644958,0.9463746005624262,0.19907269288997476,0.7713907060720725,0.40056903580290054,high,7.2547,139.93,48419.64325
Republic of Moldova,0.00172671256798348,0.00429986731472631,2.398973384080458e-4,9.26177385119309e-4,7.925364181287648e-5,5.174716943371185e-4,low,0.0051,1.43,15682.07033
Romania,0.2419699319191861,0.14529325533324736,0.02543990193472781,0.02518956550197694,0.03124361917830484,0.03595761117001925,mid,0.3761,19.27,37730.37084
Russian Federation,0.15358409136756507,0.285628212420827,0.03363198298897817,0.10462703862175655,0.01061082748322209,0.04955500273342128,low,0.8921,6.08,38638.42969
