country,results,direct,perio_prev,Upper Perio Prevalence (%),Lower Perio Prevalence (%),decid_caries,Upper Deciduous,Lower Deciduous,perm_caries,Upper Permanent,Lower Permanent,edent,Upper Edentulism,Lower Edentulism,diab_prev,Upper Diabetes,Lower Diabetes,diab_death,Upper Diabetes Deaths,Lower Diabetes Deaths,smoking_agest,Upper Smoking,Lower Smoking,dentists,Upper Dentists,Lower Dentists,dent_personnel,Upper Dental Personnel,Lower Dental Personnel,gdp_usd,Upper GDP,Lower GDP,dent_exp,dent_exppc,adv_coverage,coverage
Estonia,,,0.175017846,0.212979126,0.139507789,0.051729179,0.063699081,0.041635743,0.221680496,0.268555922,0.174364471,0.092076043,0.112618365,0.073606032,0.075249135,0.082407535,0.068157803,0.016611504,0.018843154,0.014468065,0.316768507,0.330870317,0.302290616,7.233,9.316,5.53,12.084,14.747,9.752,29435,28846,29995,0.149,113,,
Eswatini,,,0.045753308,0.062467538,0.031947331,0.098033842,0.119010305,0.075745284,0.267721014,0.328000298,0.216621418,0.032048099,0.041378451,0.024084492,0.03831324,0.041479694,0.035454513,0.033479167,0.041141056,0.027415534,0.086182105,0.094767819,0.078553408,0.127,0.191,0.081,0.205,0.297,0.136,4169,3943,4346,0.0138,12.18,Yes,70
Ethiopia,,,0.118203021,0.145173469,0.09005251,0.118262867,0.14154556,0.096147203,0.256770582,0.295248909,0.225591064,0.009196475,0.011177167,0.007183932,0.018834023,0.020643449,0.017032479,0.019695577,0.022456563,0.01725569,0.058853834,0.063423007,0.054457267,0.152,0.231,0.094,0.28,0.393,0.191,981,835,1178,0.0001,0,No,66
Fiji,,,0.02560195,0.035419509,0.017947862,0.092900713,0.111094085,0.075285942,0.400839975,0.471281883,0.341173303,0.02461008,0.0311974,0.018689986,0.155688623,0.166452202,0.143870066,0.193710699,0.226137892,0.15282305,0.425202325,0.453927057,0.399737246,1.2,1.748,0.773,2.349,3.24,1.623,5763,5298,6379,0.0069,7.7,,
Finland,,,0.197489751,0.236643518,0.160631157,0.031172068,0.040753069,0.023122419,0.271517128,0.320149196,0.224446394,0.105782978,0.131414536,0.083436118,0.118629321,0.128555193,0.109731429,0.010582614,0.011574623,0.009078209,0.214896432,0.226867396,0.203629249,6.058,7.562,4.741,10.053,12.121,8.327,56862,56237,57698,0.5937,107.59,,
France,,,0.109192954,0.142042585,0.08160428,0.030571019,0.042064387,0.020309085,0.474381421,0.53021054,0.419026886,0.079462698,0.09911549,0.06207586,0.059742864,0.065028131,0.054420375,0.020184172,0.021961872,0.016898227,0.340201985,0.356080664,0.32579559,5.659,6.952,4.552,8.979,10.865,7.382,46355,45368,47548,12.666,195.39,,
Gabon,,,0.107100573,0.139340245,0.077406115,0.068837761,0.087769345,0.050373232,0.273763509,0.333445901,0.224632513,0.023037715,0.028295424,0.017665607,0.048805779,0.053319664,0.044936796,0.043838104,0.053912399,0.035137066,0.123540099,0.133584724,0.11403764,0.282,0.418,0.184,0.344,0.495,0.233,9025,8435,9776,0.0077,3.69,Yes,100
Gambia,,,0.185274722,0.214579492,0.154692975,0.10650285,0.134122335,0.081703396,0.293912013,0.353720962,0.23905844,0.013637296,0.01676693,0.010384321,0.029596372,0.032288267,0.027159007,0.021622166,0.026262652,0.017390202,0.122004513,0.130868345,0.113507665,0.102,0.156,0.065,0.189,0.272,0.131,887,869,904,0,0.02,No,10
Georgia,,,0.133072025,0.166171216,0.102568115,0.074481101,0.085190495,0.061590879,0.397826558,0.455908995,0.337750833,0.095359865,0.116686869,0.076475641,0.084744129,0.092552095,0.078055371,0.017912467,0.020184179,0.015408589,0.518083109,0.536249137,0.499516075,12.999,16.081,10.295,14.523,17.896,11.643,5731,5248,6148,0.0116,3.13,,
Germany,0.085,Direct,0.243631508,0.283958572,0.204581193,0.019938353,0.025751165,0.015857588,0.320000109,0.373058406,0.267560551,0.091892131,0.114221074,0.071168788,0.085364596,0.093881592,0.07872121,0.021275759,0.023303907,0.017997938,0.299014205,0.314463362,0.284105459,13.162,15.447,11.163,23.179,26.318,20.297,54104,53624,54751,30.8773,372.15,Yes,90
Ghana,0.062,Indirect - based on case mix,0.19581535,0.229620847,0.161165324,0.095505178,0.119860222,0.073362156,0.256274486,0.31228409,0.20530574,0.014552516,0.018059644,0.011040446,0.035108196,0.038044134,0.031947714,0.027201144,0.031038219,0.023304605,0.059575463,0.065641559,0.054050631,0.149,0.213,0.101,0.382,0.507,0.285,2402,1796,2879,0.0008,0.03,Yes,53
